Full name of agency,Total reported,Country,Year
SECRETARÍA DE CONTROL Y MONITOREO AMBIENTAL MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE,1103957.42,Argentina,2018
SECRETARÍA DE MINERÍA (SEMIN) MINISTERIO DE DESARROLLO PRODUCTIVO,0.0,Argentina,2018
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE),4422649722.0,Burkina Faso,2018
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE),4263702851.0,Burkina Faso,2019
AUTRES,75657609.0,Cote d'Ivoire,2017
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),107485996398.0,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),33078242200.0,Cote d'Ivoire,2017
DIRECTION DES RECETTES PROVINCIALES,356638875.24,Democratic Republic of Congo,2017
MINISTERIO DE ENERGÍA Y MINAS (MEM),500991436.0,Dominican Republic,2018
MINISTERIO DE ENERGÍA Y MINAS (MEM),103364961.0,Dominican Republic,2019
MINISTERIO DE ENERGÍA Y MINAS (MEM),57327767.0,Dominican Republic,2020
AMANSIE SOUTH DISTRICT ASSEMBLY,241900.0,Ghana,2017
BIRIM NORTH DISTRICT ASSEMBLY,434500.0,Ghana,2017
PRESTEA HUNI VALLEY DISTRICT ASSEMBLY,126556.0,Ghana,2017
SEFWI WIASO DISTRICT ASSEMBLY,130563.0,Ghana,2017
TARKWA NSUAEM MUNICIPAL ASSEMBLY,470801.0,Ghana,2017
AMANSIE SOUTH DISTRICT ASSEMBLY,241900.0,Ghana,2018
BIBIANI /AHWIASO /BEKWAI DISTRICT ASSEMBLY,0.0,Ghana,2018
BIRIM NORTH DISTRICT ASSEMBLY,434500.0,Ghana,2018
PRESTEA HUNI VALLEY DISTRICT ASSEMBLY,126556.0,Ghana,2018
SEFWI WIASO DISTRICT ASSEMBLY,130563.0,Ghana,2018
TARKWA NSUAEM MUNICIPAL ASSEMBLY,470801.82,Ghana,2018
BIRIM NORTH DISTRICT ASSEMBLY,288082.0,Ghana,2019
STATE OIL MARKETING COMPANY (SOMO),0.0,Iraq,2017
ENVIRONMENTAL PROTECTION AUTHORITY (EPA),614553.0,Liberia,2018
LIBERIA CIVIL AVIATION AUTHORITY (LCAA),8680.0,Liberia,2018
LIBERIA REVENUE AUTHORITY (LRA),32737656.0,Liberia,2018
NATIONAL OIL COMPANY OF LIBERIA (NOCAL),375000.0,Liberia,2018
NATIONAL PORT AUTHORITY (NPA),1987696.0,Liberia,2018
OFFICE NATIONAL POUR L'ENVIRONNEMENT,282766719.0,Madagascar,2017
OFFICE NATIONAL POUR L'ENVIRONNEMENT,470473460.0,Madagascar,2018
MINERAL RESOURCES AND PETROLEUM AUTHORITY OF MONGOLIA,282788326000.0,Mongolia,2018
EMPRESA NACIONAL DE HIDROCARBONETOS EP (ENH),3527636.7,Mozambique,2019
NIGERIAN CONTENT DEVELOPMENT AND MONITORING BOARD (NCDMB),99609247.0,Nigeria,2017
NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC),933210229.58,Nigeria,2017
DEPARTMENT OF ENERGY (DOE),29578003901.61,Philippines,2018
MINES AND GEOSCIENCES BUREAU (MGB),1187312323.37,Philippines,2018
NATIONAL COMMISSION ON INDIGENOUS PEOPLE (NCIP),58010632.42,Philippines,2018
PHILIPPINE PORTS AUTHORITY (PPA),278761471.04,Philippines,2018
OTHER GOVT. AGENCY,0.0,Tanzania,2018
CAISSE NATIONALE DE SÉCURITÉ SOCIALE (CNSS),1561220340.0,Togo,2017
COMMISSARIAT DES IMPÔTS (CI),7670564536.0,Togo,2017
DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),1959455741.0,Togo,2017
DIRECTION GÉNÉRALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),189783.0,Togo,2017
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),332700000.0,Togo,2017
SOCIETE TOGOLAISE DES EAUX (TDE),0.0,Togo,2018
INDUSTRIAL DEVELOPMENT CORPORATION (IDC),69205641.67,Zambia,2018
MINISTRY OF FINANCE (MOF),23178861.72,Zambia,2018
ZAMBIA CONSOLIDATED COPPER MINES – INVESTMENT HOLDINGS PLC (ZCCM- IH),758327248.44,Zambia,2018
ZAMBIA CONSOLIDATED COPPER MINES – INVESTMENT HOLDINGS PLC (ZCCM- IH),0.0,Zambia,2019
